Watson,All-Rounder,CSK,0,0,0
Du Plesis,Batsman,CSK,0,0,0
Raina,All-Rounder,CSK,0,0,0
Rayudu,Batsman,CSK,0,0,0
MS Dhoni,Batsman,CSK,0,0,0 
Bravo,All-Rounder,CSK,0,0,0
Jadeja, All-Rounder,CSK,0,0,0
Karan Sharma,Bowler,CSK,0,0,0
Deepak Chahar,Bowler,CSK,0,0,0
Shardul Thakur,Bowler,CSK,0,0,0
Lungi Ngidi,Bowler,CSK,0,0,0
Suryakumar,Batsman,MI,0,0,0
Elvin Lewis,Batsman,MI,0,0,0
Ishan Kishan,Batsman,MI,0,0,0
Rohit Sharma,Batsman,MI,0,0,0
Krunal Pandya,All-Rounder,MI,0,0,0
Ben Cutting,All-Rounder,MI,0,0,0
Hardik Pandya, All-Rounder,MI,0,0,0
McClenegan,Bowler,MI,0,0,0
Mayank Markande,Bowler,MI,0,0,0
Bumrah, Bowler,MI,0,0,0
Mustafizur,Bowler,MI,0,0,0
Virat Kohli,Batsman,RCB,0,0,0
De Kock,Batsman,RCB,0,0,0
ABD Villiers,Batsman,RCB,0,0,0
Mandeep,Batsman,RCB,0,0,0
Corey Anderson,Batsman,RCB,0,0,0
Sundar,All-Rounder,RCB,0,0,0
Sarfaraz,Batsman,RCB,0,0,0
Woakes,All-Rounder,RCB,0,0,0
Umesh, Bowler,RCB,0,0,0
Siraj,Bowler,RCB,0,0,0
Chahal,Bowler,RCB,0,0,0
Saha,Batsman,SRH,0,0,0
Dhawan,Batsman,SRH,0,0,0
Williamson,Batsman,SRH,0,0,0
Shakib Hasan,Batsman,SRH,0,0,0
Deepak Hooda,Batsman,SRH,0,0,0
Yusuf Pathan,All-Rounder,SRH,0,0,0
Brathwaite,All-Rounder,SRH,0,0,0
Rashid Khan,Bowler,SRH,0,0,0
Bhuvneshwar,Bowler,SRH,0,0,0
Kaul,Bowler,SRH,0,0,0
Ahmed,Bowler,SRH,0,0,0
Lynn,Batsman,KKR,0,0,0
Marine,Bowler,KKR,0,0,0
Rana,Batsman,KKR,0,0,0
Uthappa,Batsman,KKR,0,0,0
Kartik,Batsman,KKR,0,0,0
Gill,Batsman,KKR,0,0,0
Russel,All-Rounder,KKR,0,0,0
Chawla,Bowler,KKR,0,0,0
Mavi,Bowler,KKR,0,0,0
Kuldeep Yadav,Bowler,KKR,0,0,0
Krishna,Bowler,KKR,0,0,0
Butler,Batsman,RR,0,0,0
Short,Batsman,RR,0,0,0
Rahane,Batsman,RR,0,0,0
Samson,Batsman,RR,0,0,0
Stokes,All-Rounder,RR,0,0,0
Tripathi,Batsman,RR,0,0,0
Jofra Archer,All-Rounder,RR,0,0,0
Gowtham,Bowler,RR,0,0,0
Gopal,Bowler,RR,0,0,0
Unadkat,Bowler,RR,0,0,0
Anureet,Bowler,RR,0,0,0
KL Rahul,Batsman,KXIP,0,0,0
Gayle,Batsman,KXIP,0,0,0
Mayank,Batsman,KXIP,0,0,0
Yuvraj,All-Rounder,KXIP,0,0,0
Axar,All-Rounder,KXIP,0,0,0
Stoinis,All-Rounder,KXIP,0,0,0
Manoj Tiwary,Batsman,KXIP,0,0,0
Ashwin,Bowler,KXIP,0,0,0
Tye,Bowler,KXIP,0,0,0
Rajpoot,Bowler,KXIP,0,0,0
Mujeeb,Bowler,KXIP,0,0,0
Prithvi,Batsman,DD,0,0,0
Munro,Batsman,DD,0,0,0
Shreyas,Batsman,DD,0,0,0
Pant,Batsman,DD,0,0,0
Maxwell,Batsman,DD,0,0,0
Shankar,Batsman,DD,0,0,0
Plunkett,Bowler,DD,0,0,0
Nadeem,Bowler,DD,0,0,0
Mishra,Bowler,DD,0,0,0
Avesh,Bowler,DD,0,0,0
Boult,Bowler,DD,0,0,0
